review_id,occurred_at,sender,subject,company,role,candidate_application_ids,reason,source_ref,status
review-3924ad43148411c62a95798b0dba6dab1b4b36c581a180480340e9225c45656c,2026-07-01T23:32:28Z,Kamila Beckett - Digital Workforce,"We have received your application, thank you!",kamila beckett digital workforce,Senior AI Agent Developer to our office in Helsinki,[],no canonical company match,2e2766bf88cc9b5ba28845d30cec1318f50a8983353f99e6871cacf9e3937fd6,pending
review-fa59b98c0beec90b3fb9dd76668a3e9e73dd98238d350b931bb6064463458980,2026-07-02T22:42:12Z,Jobgether Talent Team,"Next Steps for Your Job Application: AI Engineer (Remote, International) at Jobgether",jobgether,this,"[""app-20260702-jobgether-ai-engineer-remote-international-a35902ca""]",ambiguous: score below 0.85,1a99ea52f8b4ae753788aad011cf06ba4e916014813a9b44242fd7385d2251ab,pending
review-374948c3de90438add2bae9f807c8b6d2a5ff2363e5eca4788442323a1dcf6fa,2026-07-05T13:58:14Z,Mistral AI,Thank you for your application to Mistral AI,mistral ai,"Applied AI, Evaluation Engineer, and we are delighted that you would consider joining our team","[""app-20260705-mistral-ai-ai-deployment-strategist-cybersecurity-emea-ceabbe7f"",""app-20260705-mistral-ai-applied-ai-engineer-cybersecurity-2ea2bbb2"",""app-20260705-mistral-ai-applied-ai-evaluation-engineer-e826f027"",""app-20260705-mistral-ai-applied-ai-forward-deployed-ml-engineer-emea-65783db9""]",ambiguous: score below 0.85 and no unique best,bf21f91e4977f9f4d375bb4d92551ce8444c3f29ea13f60b00ef87a2faf31678,pending
review-bedde483dd289ee1f7c51656c580b013ba2b7ad145ba451671763072c86a777f,2026-07-05T14:12:52Z,Mistral AI,Thank you for your application to Mistral AI,mistral ai,"AI Deployment Strategist, Cybersecurity - EMEA, and we are delighted that you would consider joining our team","[""app-20260705-mistral-ai-ai-deployment-strategist-cybersecurity-emea-ceabbe7f"",""app-20260705-mistral-ai-applied-ai-engineer-cybersecurity-2ea2bbb2"",""app-20260705-mistral-ai-applied-ai-evaluation-engineer-e826f027"",""app-20260705-mistral-ai-applied-ai-forward-deployed-ml-engineer-emea-65783db9""]",ambiguous: score below 0.85 and no unique best,e28cb340dfc6cf17c3a5e720b1db2239faf1cff137e1e0118f501466c52a660e,pending
review-3ea1966a9a213804fd97787e2ccb571ef2abd635831be9def54ea400094f7719,2026-07-05T14:18:57Z,CuspAI Hiring Team,Thanks for applying to CuspAI,cuspai hiring,,[],no canonical company match,f2c3db833f2fe76b1b446bd055a4b5a3877a75453f86c033ce33f7a0d8bb6dfa,pending
review-28a196de505065c8241ff655761d774f651a1b2d687059e246a7aeb4876c6895,2026-07-06T09:15:53Z,ElevenLabs Hiring Team,ElevenLabs | Application Received,elevenlabs hiring,,[],no canonical company match,dffcab4b2566d1439c74d0002348b724ff16087ed5ec11f9f4dc7c4aa72f8c46,pending
review-35654e1ae04827a73225028ad17eae23c13aec1fe878c6f2909c60245fb50d00,2026-07-06T09:16:40Z,Kraken Hiring Team,Thank you for applying to Kraken,kraken hiring,Senior Software Engineer - Frontend - Pro,[],no canonical company match,85d8e6a55350eabf41c98355e0192493f76d8fd579cdfdbdd31303a8055ef4fc,pending
review-b9bfc1c7ddafb809ec83da5b02e6b264350010959bc6622706136f5e57a3494d,2026-07-08T18:19:41Z,James Galligan,How 33 members crossed €100k/month,james galligan,,[],no canonical company match,50dedc88a6a08446da677d26100e2b4b6284f748ffd0f4e3b696d97c52bbd5ee,pending
review-da0c19712022b77950b34fa2e0de6952000b75919b1967a9b930c8a56b036ca1,2026-07-12T18:59:39Z,OpenAI Hiring Team,Thank you for applying to OpenAI,openai hiring,applying to OpenAI. Your application has been received and our recruiting team will review it for the,[],no canonical company match,99904e83ee3aefb790f4b43e70256075231ac019938b2850bcf473a48cefe0f6,pending
review-716b4625bfb796fc2056f82b824d1ebb0effea01ba63d4d4f0e5553e1a77c5df,2026-07-13T13:49:13Z,[address removed],Update from Anaplan: We've received your application,address removed,,[],no canonical company match,fc9f48fa8d5de6e7fbab67a1c3cec3cb999861edd9d1d9a93cf2651f1698ad1f,pending
review-255b886f61d04d3c9f18e344697c65fd9dfdefb586e263a5d7b22e10cc582ac2,2026-07-13T17:06:48Z,Lena Jennings,Google - Candidate Experience Survey,lena jennings,,[],no canonical company match,6e12d7c5a4a818f32b3129d5d135c1ae83aa3299fc61f2398e9fbc5f789943f1,pending
review-1e799e4b955be76834ad5cc304cc5f47e52382013bf9691a88ddb436dd8e3031,2026-07-16T14:02:44Z,[address removed],Thank you for applying to Bolt.new,address removed,,[],no canonical company match,264e8dcd5b8819e27a5d0600ec81c8faf529a103fb6e5c8325243aaf317c4d13,pending
review-ed0f62f4958d91c71b2d2de0132025f563dcd2ac2f945932ca281255c97c88c8,2026-07-16T14:16:15Z,CoinsPaid,Thank you for your application to CoinsPaid,coinspaid,"AI Platform Engineer, and we are delighted that you would consider joining our team","[""app-20260713-coinspaid-ai-platform-engineer-5d88899e""]",ambiguous: score below 0.85,78c319faefb07369af63f064c22cd1b424e784e3401f8a62c082534a2af1d478,pending
review-6af5801c0d7ad61a86e70c2fa02a35c0099a0cc07d7e4b7daf74498f588812aa,2026-07-17T12:04:21Z,"""Langfuse GmbH (prev. FINTO TECHNOLOGIES GMBH) Hiring Team""",Langfuse Application Update,langfuse prev finto technologies hiring,,[],no canonical company match,e1516ea654ed17b63314065bb953df54c5805868ca337b8b2e189f2ada93270e,pending
review-d2fd255e50241faf2466a3d48bf02fb5ef110a4572c3c71ee8517b89c5f0678e,2026-07-17T17:48:58Z,Dust Hiring Team,Thank you for applying to Dust - Solutions Engineer,dust hiring,your interest in the Solutions Engineer,[],no canonical company match,7e38eeceb4dbd4b2cafe6005794910923ab402dd5f38040d1f342bca62fee415,pending
review-f325076deade05cd7d216af197c8a7ad82693f0f3d5a9d60d249909eb226abca,2026-07-17T17:57:03Z,Poolside Hiring Team,We have received your application!,poolside hiring,,[],no canonical company match,e210c96dc1befa9756f26f8c35b0a85547a75457206f4b4fe892c03794a67747,pending
review-457e506274626f8a9ec0941643d3f6d669975ce881ac574e27e9212e71ddf342,2026-07-17T18:15:23Z,OpenAI Hiring Team,Thank you for applying to OpenAI,openai hiring,applying to OpenAI. Your application has been received and our recruiting team will review it for the,[],no canonical company match,5a2ccea85824afb95f5d37084cf24f71395161e172093910aa7a8a118b48c1d9,pending
review-c848355073ec7a9028cd3799b63e1dfb3fd9f839b2e64de9b97793d02e6b675f,2026-07-19T12:58:30Z,"""Happyrobot Inc. Hiring Team""",Thank you for applying to HappyRobot!,happyrobot hiring,,[],no canonical company match,3358a00042ba19b452d4648d33a1a4c32b3a5295779e93a85d4c4a4b5dd63f3e,pending
