feedback_id,application_id,occurred_at,stage,source,evidence_tier,category,signal,evidence_excerpt,required_action,rule_effect,resolves_feedback_id,scope,confidence,source_ref,created_at
fb-9a92ee4e18f04021d267206236bde6c72c1d2e1b54f79a77966e12e4433da357,app-20260705-cuspai-applied-ai-ml-engineer-agents-1d670804,2026-07-08T00:00:00Z,application,employer_email,explicit,logistics_work_authorization,Regular office attendance was required and fully remote work was unavailable.,CuspAI needed someone able to attend the office regularly and could not support fully remote work for this opening.,Logistics filters run before drafting and never reduce technical-fit calibration.,activate,,"{""geography"":""office-required"",""role_family"":""applied_ai"",""stage"":""application""}",1.0,e7c86fdb2bc758d9c3346910c31f5e2aa6fce081e78b2a586cc7f3443fdad2ab,2026-08-24T16:20:19Z
fb-ea1cc7877c1c06734404e0d0bbdfe20877118bcf2a76e94204d0702de546d259,app-20260705-langfuse-clickhouse-senior-software-engineer-sdk-75382ded,2026-07-17T00:00:00Z,application,tracker_backfill,boilerplate,competition_no_specific_signal,The rejection contained no candidate-specific actionable signal.,"The recorded rejection contains no candidate-specific, actionable feedback.",,monitor,,"{""stage"":""application""}",1.0,becafe5ffc84887c18b31ea29bbbcafb940f41183a1a0a9efd825571e3b679dc,2026-08-24T16:20:19Z
fb-2b33cbc6e965a7ce54cff043aef114e7529e868786a648dfc15aa850ac23d177,app-20260713-starbridge-ai-engineer-emea-latam-b3677060,2026-07-17T00:00:00Z,application,tracker_backfill,boilerplate,competition_no_specific_signal,The rejection contained no candidate-specific actionable signal.,"The recorded rejection contains no candidate-specific, actionable feedback.",,monitor,,"{""stage"":""application""}",1.0,285130fe834c7f00ab27c584132fb95202eb1a3939ae75bdddbef2bdc26511af,2026-08-24T16:20:19Z
fb-123d18742bb87cfdaab30c8dab82059af947cfe9386e11fee822b041a08b2643,app-20260713-dust-solutions-engineer-c86a75b2,2026-07-20T00:00:00Z,application,employer_email,explicit,role_seniority_alignment,The selected candidates had experience closer to the Solutions Engineer role.,Dust was impressed by the background but moved forward with candidates whose experience more closely matched the Solutions Engineer role.,Target implementation-heavy Applied AI/FDE roles or add direct solutions-engineering proof.,activate,,"{""role_family"":""other"",""stage"":""application""}",0.95,0fce0798985e25d1c73d763eb1859f4320fe5b19bbaaa3a625140969db8703fe,2026-08-24T16:20:19Z
fb-363c064406e7550f9c3b11909a238e5670960ce56707edd2db67f0deecc85907,app-20260713-zapier-engineer-applied-ai-69ab8b56,2026-07-20T00:00:00Z,application,employer_email,explicit,logistics_work_authorization,Country-of-residence work eligibility was required without visa sponsorship.,Zapier required legal eligibility to work in the country of residence and could not provide visa sponsorship or immigration support.,Logistics filters run before drafting and never reduce technical-fit calibration.,activate,,"{""employment_model"":""employee"",""geography"":""country-of-residence"",""stage"":""application""}",1.0,dd0e4109aed92e0d3eb235de5db9f20ec3fd26f3a6991e1e9966d23e1a3c1e98,2026-08-24T16:20:19Z
fb-bc72f87dc992f5c2ac31f4b2c99df1afa4397a63740e380e9051ff8b498e8315,app-20260719-lobby-founding-engineer-applied-ai-systems-f98a6832,2026-07-20T00:00:00Z,application,recruiter_message,explicit,role_seniority_alignment,The profile did not exactly match the founding applied-AI role.,Lobby described the AI and document-automation background as impressive but said the profile did not exactly match the opening.,"Prefer document-AI, workflow, or evaluation-heavy applied roles unless founding-role evidence matches directly.",activate,,"{""role_family"":""applied_ai"",""seniority"":""founding"",""stage"":""application""}",0.95,150a693775233c54cd27000a9c400ce88e48e8699cbb44883b2bf703ca7b4297,2026-08-24T16:20:19Z
fb-31165d2b7f28a71dfd360048479828693b5e757016a1419c71fbb27b648afd7e,app-20260710-dragonfly-askdragonfly-com-senior-ai-engineer-58662bcc,2026-07-21T00:00:00Z,technical,candidate_postmortem,observed,communication_decision_clarity,A trade-off answer enumerated options without making and defending a choice.,"Asked to choose between event-driven glue and a programmatic pipeline, the answer enumerated more agents instead of choosing and defending one approach.","Trade-off answers choose explicitly, state criteria, and reject an alternative.",activate,,"{""role_family"":""applied_ai"",""seniority"":""senior"",""stage"":""technical""}",0.95,d66fd3273e1aea4406213a1b97bd57ab130dfaaf2047a1840885e6750909a17a,2026-08-24T16:20:19Z
fb-0ef73f69650bd261a91f55edec606b414a7d21c9e7459f0bc66397b5e2b713c0,app-20260710-dragonfly-askdragonfly-com-senior-ai-engineer-58662bcc,2026-07-21T00:00:00Z,technical,candidate_postmortem,observed,technical_depth,Model selection and ML fundamentals lacked task-specific depth.,The postmortem records relying on public benchmarks instead of task-specific evaluation and being unable to explain transformer attention at senior depth.,Task-specific evaluation evidence outranks public benchmarks.,activate,,"{""role_family"":""applied_ai"",""seniority"":""senior"",""stage"":""technical""}",0.95,eeb641b8b8b77df5edad70ccb7dcad843ce72a32260bc01cd155f37da246f255,2026-08-24T16:20:19Z
fb-92e8ee66690ee93fc0045486d32fc53703a603f8ffcbceb6a12ccd2648a1d7ae,app-20260709-openai-ai-deployment-engineer-startups-45c10525,2026-07-22T00:00:00Z,application,tracker_backfill,boilerplate,competition_no_specific_signal,The rejection contained no candidate-specific actionable signal.,"The recorded rejection contains no candidate-specific, actionable feedback.",,monitor,,"{""stage"":""application""}",1.0,367384c15aaf1b90ee55bdbffb26740c3acba510ff177abd1fc97f2aa94c5e28,2026-08-24T16:20:19Z
fb-66f994512a7903a7226e296a7972380db2862872fbaed2fa8bb96a21b8eb7266,app-20260719-remote-senior-forward-deployed-engineer-remote-build-416d8f3e,2026-07-22T00:00:00Z,application,tracker_backfill,boilerplate,competition_no_specific_signal,The rejection contained no candidate-specific actionable signal.,"The recorded rejection contains no candidate-specific, actionable feedback.",,monitor,,"{""stage"":""application""}",1.0,f43592ac227d990cabece691b13465e7c51694a6856fec82f1739c3d22241464,2026-08-24T16:20:19Z
