application_id,discovered_at,company,sector,role,role_family,role_type,geography,logistics_status,channel,screening_decision,screening_reason,submitted_at,stage,status,status_updated_at,contact_person,fit_score,fit_label,notes,cv_file,cover_letter_file,source
app-20260705-mistral-ai-applied-ai-evaluation-engineer-e826f027,2026-07-05,Mistral AI,Frontier lab,"Applied AI, Evaluation Engineer",applied_ai,Full-time On-Site Paris,,,Lever,qualified,,2026-07-05,submitted,SUBMITTED 2026-07-05,2026-07-05,,85,Strong,"SUBMITTED. Paris on-site; applied open-to-relocation, work-auth answered No (EEA/Estonian permit; noted Blue-Card need). Counts as Mistral pick 1 of 2.",cv/main_mistral_eval.pdf,cover_letters/cover_mistral_evaluation.pdf,https://jobs.lever.co/mistral/e0db3860-0a80-47a8-958a-f8e62f3bb59c
app-20260705-mistral-ai-ai-deployment-strategist-cybersecurity-emea-ceabbe7f,2026-07-05,Mistral AI,Frontier lab,"AI Deployment Strategist, Cybersecurity - EMEA",forward_deployed,Full-time On-Site Paris,,,Lever,qualified,,2026-07-05,submitted,SUBMITTED 2026-07-05,2026-07-05,,82,Strong,"SUBMITTED. On-site Paris (applied Paris location), Engineering Degree=Yes. Mistral pick 2 of 2 - cap reached; backups stay HOLD unless a rejection comes.",cv/main_mistral_deployment.pdf,cover_letters/cover_mistral_deployment_cybersecurity.pdf,https://jobs.lever.co/mistral/d9f2767e-cdab-4e07-9944-20bbc468613d
app-20260705-mistral-ai-applied-ai-engineer-cybersecurity-2ea2bbb2,2026-07-05,Mistral AI,Frontier lab,"Applied AI Engineer, CyberSecurity",ai_security,Full-time,,,Lever,rejected,,,prospect,HOLD (Mistral backup),2026-07-05,,82,Strong,Backup: fire only if a SUBMIT-FIRST Mistral role is rejected/silent (avoid 4 simultaneous apps at one company).,cv/main_mistral_security.pdf,cover_letters/cover_mistral_cybersecurity.pdf,https://jobs.lever.co/mistral/98e6a2ea-7049-4c8d-88b7-c9d824eea6f1
app-20260705-mistral-ai-applied-ai-forward-deployed-ml-engineer-emea-65783db9,2026-07-05,Mistral AI,Frontier lab,"Applied AI, Forward Deployed ML Engineer - EMEA",forward_deployed,Full-time EMEA,,,Lever,rejected,,,prospect,HOLD (Mistral backup),2026-07-05,,80,Strong,Backup: fire only if a SUBMIT-FIRST Mistral role is rejected/silent.,cv/main_mistral_fde.pdf,cover_letters/cover_mistral_fde.pdf,https://jobs.lever.co/mistral/77f6fd1b-65cf-45d8-9b68-594c62732f62
app-20260705-langfuse-clickhouse-senior-software-engineer-sdk-75382ded,2026-07-05,Langfuse (ClickHouse),LLM observability/eval,Senior Software Engineer (SDK),ai_platform,Full-time Hybrid (EU hubs),,,Ashby,qualified,,2026-07-05,closed,REJECTED 2026-07-17,2026-07-17,,80,Strong,Rejected by Langfuse hiring team on 2026-07-17: after review they decided not to move forward and did not provide individual feedback. Original fit remains strong for LLM observability/evals/SDK; reapply only with stronger open-source Langfuse/observability proof or a more backend/data-infra-aligned role.,cv/main_langfuse_sdk.pdf,cover_letters/cover_langfuse_sdk.pdf,https://jobs.ashbyhq.com/langfuse/891eda0a-a9f6-45e6-8750-71874db8cc11
app-20260705-auxilius-ai-ai-engineer-llmops-evaluation-7c1a6adb,2026-07-05,Auxilius.ai,GRC/Compliance AI,AI Engineer (LLMOps & Evaluation),applied_ai,Full-time EU-remote,,,Join.com,qualified,,2026-07-05,submitted,SUBMITTED 2026-07-05,2026-07-05,,84,Strong,"SUBMITTED (manual, via Join.com). Top fit: eval-loop + regulated GRC + security. EU-remote, no sponsorship.",cv/main_auxilius.pdf,cover_letters/cover_auxilius_llmops_eval.pdf,https://join.com/companies/auxiliusai/16344221-ai-engineer-for-llm-ops-and-evaluation-m-f-d
app-20260705-traide-ai-ai-engineer-7668a6b8,2026-07-05,traide AI,Trade-compliance AI,AI Engineer,applied_ai,Full-time,,,gohiring,qualified,,2026-07-05,submitted,SUBMITTED 2026-07-05,2026-07-05,,80,Strong,"SUBMITTED (manual, company ATS). Trade-compliance classification (Siemens/PwC); near-twin of BackToBirth. Berlin/EU.",cv/main_traide.pdf,cover_letters/cover_traide_ai_engineer.pdf,https://t.gohiring.com/h/676c45f586b4bf130143d5acb4adf52298808dc7ffc48c257c623e75b77f5bf1
app-20260705-flutter-uk-ireland-ai-security-engineer-b0e5617c,2026-07-05,Flutter UK & Ireland,iGaming / AI security,AI Security Engineer,ai_security,Full-time,,,LinkedIn,rejected,,,prospect,HOLD (needs UK sponsorship),2026-07-05,,74,Good,London/UK role - you'd need UK sponsorship. Fire only if it confirms EU-remote or sponsorship. Otherwise deprioritise.,cv/main_flutter.pdf,cover_letters/cover_flutter_ai_security.pdf,https://www.linkedin.com/jobs/view/4416587303
app-20260705-cuspai-applied-ai-ml-engineer-agents-1d670804,2026-07-05,CuspAI,Frontier AI / materials,Applied AI/ML Engineer (Agents),applied_ai,Full-time Hybrid,,,Ashby,qualified,,2026-07-05,closed,REJECTED 2026-07-08,2026-07-08,,63,Moderate,Rejected by CuspAI hiring team because they need someone able to come into the office regularly and cannot support fully remote for this opening. Not a skills rejection. Reapply only if relocation/regular office attendance becomes realistic or they open a remote-friendly role.,cv/main_cuspai.pdf,cover_letters/cover_cuspai_agents.pdf,https://jobs.ashbyhq.com/cuspai/916e1489-6624-4a87-90e6-218dc7ebb6fb
app-20260705-mercor-ml-engineer-model-eval-up-to-85-hr-3b95cbe2,2026-07-05,Mercor,AI eval/contract,"ML Engineer (model-eval, up to $85/hr)",other,Contract/Remote,,,LinkedIn,rejected,,,prospect,MANUAL APPLY - MERCOR LOGIN REQUIRED,2026-07-05,,68,(cashflow),Contract model-eval via mercor.com; no cover letter. Reuse eval CV. Tailored Mercor coding-agent/evals CV created 2026-07-18. Direct Mercor form requires account login before resume upload/AI interview; opened in desktop Chrome for manual completion.,cv/main_mercor_coding_agent_ml_engineer.pdf,,https://work.mercor.com/jobs/list_AAABnJzIt-SOsdwOeF5Ebarf/machine-learning-engineer-talent-network?utm_source=mercor_site&utm_medium=direct&utm_campaign=platform
